上海IPTV,#genre#
法治天地,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
法治天地,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/fztd/1300000/mnf.m3u8
上海新闻综合,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/xwzhhd/4000000/mnf.m3u8
上海新闻综合,http://111.40.196.9/PLTV/88888888/224/3221225499/index.m3u8
上海新闻综合,http://112.25.48.68/live/program/live/xwzhhd/4000000/mnf.m3u8
东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
上海都市,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ylpdhd/4000000/mnf.m3u8
五星体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
劲爆体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jbtyhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
纪实人文,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
纪实人文,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jspdhd/4000000/mnf.m3u8
纪实人文,http://112.25.48.68/live/program/live/jspdhd/4000000/mnf.m3u8
上海全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
上海全纪实,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/qjshd/4000000/mnf.m3u8
上海ICS,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海ICS,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/wypdhd/4000000/mnf.m3u8
上海ICS,http://111.40.196.9/PLTV/88888888/224/3221225489/index.m3u8
上海第一财经,http://183.207.255.188/live/program/live/dycjhd/4000000/mnf.m3u8
上海第一财经,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/dycjhd/4000000/mnf.m3u8
极速汽车,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
极速汽车,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jsqchd/4000000/mnf.m3u8
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
动漫秀场,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/dmxchd/4000000/mnf.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
欢笑剧场,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hxjchd/4000000/mnf.m3u8
欢笑剧场,http://shbu4k.live.bestvcdn.com:8080/live/program/live/hxjchd/4000000/mnf.m3u8
都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
都市剧场,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/dsjchd/4000000/mnf.m3u8
足球魅力,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
足球魅力,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/mlyyhd/4000000/mnf.m3u8
生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
生活时尚,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/shsshd/4000000/mnf.m3u8
生活时尚,http://111.40.196.9/PLTV/88888888/224/3221225501/index.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
游戏风云,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/yxfyhd/4000000/mnf.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/xdkt/1300000/mnf.m3u8
哈哈炫动,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/xdkt/1300000/mnf.m3u8
哈哈炫动,http://112.25.48.68/live/program/live/hhxdhd/4000000/mnf.m3u8
东方财经,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/dfcj/1300000/mnf.m3u8
七彩戏剧,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
七彩戏剧,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/qcxj/1300000/mnf.m3u8
金鹰卡通,http://183.207.255.188/live/program/live/jykt/1300000/mnf.m3u8
金鹰卡通,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jykt/1300000/mnf.m3u8
嘉佳卡通,http://183.207.255.188/live/program/live/jjkt/1300000/mnf.m3u8
嘉佳卡通,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jjkt/1300000/mnf.m3u8
上海教育,https://live2018.setv.sh.cn/setv/programme10_ud.m3u8?auth_key=4794048378-0-0-06e60dd476e18047abd3be7701993ee8
央视,#genre#
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV1,http://111.40.196.9/PLTV/88888888/224/3221225513/index.m3u8
CCTV1,http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV1,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV1,http://112.25.48.68/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV2,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv2/1300000/mnf.m3u8
CCTV2,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv2/1300000/mnf.m3u8
CCTV2,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv2/1300000/mnf.m3u8
CCTV2,http://111.40.196.9/PLTV/88888888/224/3221225488/index.m3u8
CCTV2,http://112.25.48.68/live/program/live/cctv2/1300000/mnf.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV3,http://111.40.196.9/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://112.25.48.68/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV4,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv4/1300000/mnf.m3u8
CCTV4,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv4/1300000/mnf.m3u8
CCTV4,http://111.40.196.9/PLTV/88888888/224/3221225490/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5,http://111.40.196.9/PLTV/88888888/224/3221225550/index.m3u8
CCTV5,http://111.40.196.9/PLTV/88888888/224/3221225559/index.m3u8
CCTV5,http://111.40.196.9/PLTV/88888888/224/3221225668/index.m3u8
CCTV5,http://111.40.196.9/PLTV/88888888/224/3221225733/index.m3u8
CCTV5,http://111.40.196.9/PLTV/88888888/224/3221225745/index.m3u8
CCTV5,http://112.25.48.68/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://111.40.196.9/PLTV/88888888/224/3221225767/index.m3u8
CCTV5+,http://112.25.48.68/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV6,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV6,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV6,http://111.40.196.9/PLTV/88888888/224/3221225561/index.m3u8
CCTV6,http://112.25.48.68/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://112.25.48.68/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV8,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV8,http://111.40.196.9/PLTV/88888888/224/3221225565/index.m3u8
CCTV8,http://111.40.196.9/PLTV/88888888/224/3221225592/index.m3u8
CCTV8,http://112.25.48.68/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://111.40.196.9/PLTV/88888888/224/3221225502/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv10/1300000/mnf.m3u8
CCTV10,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv10/1300000/mnf.m3u8
CCTV10,http://111.40.196.9/PLTV/88888888/224/3221225494/index.m3u8
CCTV10,http://111.40.196.9/PLTV/88888888/224/3221225567/index.m3u8
CCTV10,http://112.25.48.68/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV11,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv11/1300000/mnf.m3u8
CCTV11,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv11/1300000/mnf.m3u8
CCTV11,http://111.40.196.9/PLTV/88888888/224/3221225496/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8
